facebookresearch__cwm,100.17,64323,52669,11654
aeromomo__claw-compactor,150.35,84231,61000,23231
XiaomiMiMo__MiMo-Audio,117.12,58987,46612,12375
DFin__Neural-Network-Visualisation,92.87,40228,30681,9547
ChrisWiles__claude-code-showcase,167.16,93165,72678,20487
renzorlive__vimmaster,105.3,72061,57735,14326
ByteDance-Seed__seed-oss,92.09,58259,42818,15441
toon-format__toon-python,120.73,68253,51450,16803
usestrix__strix,111.67,65028,50647,14381
nv-tlabs__vipe,134.77,54692,42194,12498
kayba-ai__agentic-context-engine,208.22,98720,73843,24877
hotheadhacker__seedbox-lite,275.47,148100,111658,36442
karpathy__reader3,45.87,19415,15786,3629
heyitsnoah__claudesidian,350.58,180335,130552,49783
BayramAnnakov__claude-reflect,96.9,64747,50492,14255
jmuncor__tokentap,106.93,65100,50327,14773
JMS1717__8mb.local,254.78,119502,88740,30762
jenish-sojitra__JSAnalyzer,146.46,56242,43118,13124
mistralai__mistral-vibe,163.39,93058,71158,21900
simonw__claude-code-transcripts,118.9,79483,64842,14641
